source,url,published,title,summary,text,companies,tickers,mapped_tickers,percentages,currency_values,events,sentiment_label,sentiment_score
financial_times_rss,https://www.ft.com/content/3984d89d-64ed-43e0-a6fe-0804173fa5c0?syn-25a6b1a6=1,"Mon, 14 Sep 2026 09:49:07 GMT",Novo ditches Nordisk from name as drugmaker attempts revival,Danish pharmaceutical group is under pressure from investors to regain ground in obesity market,Novo ditches Nordisk from name as drugmaker attempts revival. Danish pharmaceutical group is under pressure from investors to regain ground in obesity market,Novo,,,,,,negative,-0.9003114700317383
financial_times_rss,https://www.ft.com/content/aa8a1be7-abe0-44b7-bcd3-31fd0a44de08?syn-25a6b1a6=1,"Mon, 14 Sep 2026 09:10:38 GMT",Tech stocks fall after big AI groups call for slowdown,South Korea’s tech-heavy Kospi slides as Wall Street is set to open lower,Tech stocks fall after big AI groups call for slowdown. South Korea’s tech-heavy Kospi slides as Wall Street is set to open lower,"South Korea, Tech",,,,,,negative,-0.9489170284941792
financial_times_rss,https://www.ft.com/content/236d8c58-7f6a-497c-9f57-9e7d2ad80096?syn-25a6b1a6=1,"Mon, 14 Sep 2026 07:24:51 GMT",Hugo Boss chair steps down under pressure from Frasers Group,Stephan Sturm to depart board of German fashion group after clashing with largest shareholder over dividend payments,Hugo Boss chair steps down under pressure from Frasers Group. Stephan Sturm to depart board of German fashion group after clashing with largest shareholder over dividend payments,Frasers Group,,,,,dividend,negative,-0.9059687564149499
financial_times_rss,https://www.ft.com/content/639b4d2a-30c7-473c-a3ec-1fe96a7a7ac7?syn-25a6b1a6=1,"Mon, 14 Sep 2026 04:00:12 GMT",How high might natural gas prices go?,Market mindset has shifted to concerns of extended outage as the Strait of Hormuz blockages continue ahead of winter,How high might natural gas prices go?. Market mindset has shifted to concerns of extended outage as the Strait of Hormuz blockages continue ahead of winter,,,,,,,negative,-0.7587949335575104
financial_times_rss,https://www.ft.com/content/cf0ee7e3-8634-4c1d-8a44-3b71acee1417?syn-25a6b1a6=1,"Mon, 14 Sep 2026 04:00:05 GMT",Euronext open to ‘big bang’ deal with rival Deutsche Börse,Chief executive Stéphane Boujnah’s comments come as EU officials seek ways to make the bloc’s capital markets more competitive,Euronext open to ‘big bang’ deal with rival Deutsche Börse. Chief executive Stéphane Boujnah’s comments come as EU officials seek ways to make the bloc’s capital markets more competitive,"Boujnah, Deutsche Börse",,,,,,positive,0.8458455670624971
financial_times_rss,https://www.ft.com/content/5495d88b-b457-498a-bedd-64a954b538cd?syn-25a6b1a6=1,"Mon, 14 Sep 2026 00:45:21 GMT",Michael Dell’s family office leads $7.7bn deal to take insurance broker private,DFO Management and Sequence near acquisition of Baldwin Group as industry undergoes wave of consolidation,Michael Dell’s family office leads $7.7bn deal to take insurance broker private. DFO Management and Sequence near acquisition of Baldwin Group as industry undergoes wave of consolidation,"Baldwin Group, Michael Dell, DFO Management, Sequence",,,,$7,acquisition,positive,0.5017487891018391
financial_times_rss,https://www.ft.com/content/76a24fc8-b521-47d6-aec9-1bf6666afd60?syn-25a6b1a6=1,"Mon, 14 Sep 2026 04:00:00 GMT",Fed and BoJ expect rate hikes as US bond market flails,Central banks will meet this week to decide whether to raise interest rates. How might that affect US Treasuries?,"Fed and BoJ expect rate hikes as US bond market flails Roula Khalaf, Editor of the FT, selects her favourite stories in this weekly newsletter. US Treasury secretary Scott Bessent’s interventions in the American bond market haven’t worked so far, but could interest rate decisions from the Federal Reserve and Bank of Japan this week change things? Plus, Russia hit a Ukrainian train line moments after foreign dignitaries transited it, and the FT’s Zehra Munir explains how protesters cancelled a data centre project in Virginia. Mentioned in this podcast: Subscribe to the FT: ft.com/briefingsale Want to get in touch? Email us at [email protected] Note: The FT does not use generative AI to voice its podcasts The FT News Briefing is produced by Sonja Hutson, Saffeya Ahmed, Katya Kumkova, and Josh Gabert-Doyon. Our show is mixed by Sam Giovinco and Kelly Garry. Additional help from Gavin Kallmann, Michael Lello, Peter Barber and David da Silva. Our executive producer is Topher Forhecz. Flo Phillips is the FT’s global head of audio. The show’s theme music is by Metaphor Music.","BoJ, US Treasury, Bank of Japan, Metaphor Music",,,,,,neutral,-0.006353218108415604
theblock,https://www.theblock.co/news/regulation/2026-09-14-bernstein-sees-more-clarity-act-progress-than-markets-expected-says-any-positive-surprise-is-definitely-not-priced-in-414593,"Mon, 14 Sep 2026 09:36:08 +0000","Bernstein sees more Clarity Act progress than markets expected, says ‘any positive surprise is definitely not priced in’",The analysts argued crypto markets currently have a bearish bias ahead of Tuesday's cloture vote and Wednesday's Federal Reserve decision.,"Bernstein sees more Clarity Act progress than markets expected, says 'any positive surprise is definitely not priced in' Quick Take - Bernstein analysts said there may be more progress on the Clarity Act than markets expected last week after Republicans made concessions on ethics and community bank concerns. - The analysts argued crypto markets currently have a bearish bias ahead of Tuesday’s cloture vote and Wednesday’s Federal Reserve decision. Analysts at research and brokerage firm Bernstein said Monday that there may be more progress on the Clarity Act than markets expected last week after Senate Republicans made concessions on ethics and other concerns ahead of Tuesday's procedural vote. ""It now appears, there may be further progress on Clarity than consensus expectations last week,"" the analysts led by Gautam Chhugani wrote in a note to clients. ""We reckon, any positive surprise is definitely not priced in,"" they said, as prediction market odds climbed back above 30% on Kalshi. Late Sunday, Senate Republicans released what they described as the final draft of the Clarity Act, incorporating 126 ""substantive changes"" requested by Democrats. President Donald Trump agreed to most of a bipartisan ethics proposal, including a role for state attorneys general in enforcing its restrictions. The draft also gives the Treasury secretary authority to impose a ""circuit-breaker"" and temporarily restrict stablecoin rewards if payment stablecoins trigger substantial withdrawals from community banks. Bernstein said the ethics offer is ""probably as good as it gets,"" adding that the White House's acceptance of an enforcement role for state attorneys general, on top of crypto divestment or blind trust conditions, could be enough for a handful of Democrats to support the cloture vote, keeping hopes alive for last-minute negotiations before the final vote. The analysts also said some Senate Democrats may be wary of being cast as ""anti-crypto"" ahead of the midterms, noting that the crypto lobby has supported candidates from both parties. Bernstein argued the Clarity Act failing to pass would be ""the worst outcome,"" including for the banking lobby. The latest bill draft gives banks guardrails around stablecoin yield and deposit flight during a potential banking crisis, they said, and without it, third-party platforms could continue offering full yield on idle stablecoin balances. Markets head into catalyst-heavy week The Senate is scheduled to hold its cloture vote on the motion to proceed to the Clarity Act on Tuesday. Cloture needs 60 votes. Republicans have 53 Senate seats, so they would need support from Democrats or independents if all Republicans back the motion. Bloomberg earlier reported that around seven to 10 Democrats ""sound like they want to ultimately pass a bill."" Bernstein said markets are heading into a ""catalyst heavy week,"" with the Clarity vote followed by the Federal Reserve's latest interest rate decision on Wednesday. The analysts said a hawkish Fed combined with the bill failing could lead to a ""major drawdown,"" while arguing that current market positioning has a bearish bias. Both native crypto markets and crypto stocks could see large moves in either direction depending on the outcome, they said. Bernstein has previously argued that failure to pass the Clarity Act would accelerate Securities and Exchange Commission and Commodity Futures Trading Commission crypto rulemaking rather than halt regulatory progress. The analysts reiterated that view Monday, saying increased rulemaking could help crypto stocks recover following an initial selloff. CFTC Chair Michael Selig has also said regulators could end up ""writing all the rules"" if Congress does not pass the legislation. Gautam Chhugani maintains long positions in various cryptocurrencies.",Clarity,,,30%,,,negative,-0.5197810139507055
theblock,https://www.theblock.co/news/markets/2026-09-14-td-cowen-sees-90-upside-for-bitcoin-treasury-firm-smarter-web-following-proposed-more-preferred-ipo-414590,"Mon, 14 Sep 2026 09:29:39 +0000",TD Cowen sees 90% upside for bitcoin treasury firm Smarter Web following proposed ‘MORE’ preferred IPO,"TD Cowen raised its Smarter Web price target after its proposed MORE preferred IPO, citing broader funding options and capital efficiency.","TD Cowen sees 90% upside for bitcoin treasury firm Smarter Web following proposed 'MORE' preferred IPO Quick Take - TD Cowen raised its Smarter Web price target to £0.73 ($0.99) from £0.64 ($0.87) after the company proposed a perpetual preferred-share IPO under the ticker “MORE.” TD Cowen raised its price target on The Smarter Web Company to $0.99 (£0.73) from $0.87 (£0.64) and kept its Buy rating, saying the bitcoin treasury company's proposed perpetual preferred-share offering would widen its capital-markets toolkit. Smarter Web shares traded at £0.385 ($0.52) on Monday, up 1.32% from Friday's £0.38 ($0.51) close, according to London Stock Exchange data. TD Cowen's target implies about 90% upside from that level. In a note to clients on Monday, TD Cowen analysts led by Lance Vitanza said the deal would give the company another source of long-term capital and broaden its funding options if completed. ""More broadly, we view the initiative as evidence of increasing sophistication across the bitcoin treasury ecosystem as issuers explore preferred equity, secured credit facilities, convertible securities, and other forms of structured capital,"" the analysts wrote. Last week, Smarter Web said MORE shares are expected to carry a cumulative variable-rate dividend paid weekly. They will also have a liquidation preference and redemption rights but will carry no shareholder voting rights. The proposal remains subject to shareholder approval and FCA approval of a prospectus. TD Cowen also flagged treasury performance. Smarter Web said it generated about 11.5% year-to-date BTC Yield through Sept. 2, despite a roughly 420 basis point headwind from the July 23 repayment of its TOBAM convert, which required the sale of about 178 bitcoin. Bitcoin was approaching $78,000 on Monday, according to The Block’s BTC price page. The world's largest cryptocurrency by market cap remains about 38% below its all-time high near $126,000. TD Cowen sees bitcoin at about $100,000 by December in its base case. Its upside case puts bitcoin at $175,000, while the downside case assumes $25,000. The analysts also expect Smarter Web’s acquisition activity to gradually return to its fiscal 2025 pace.","Block, IPO Quick Take - TD Cowen",,,"90%, 1.32%, 11.5%, 38%","£0.73, $0.99, £0.64, $0.87, £0.385, $0.52, £0.38, $0.51, $78,000, $126,000, $100,000, $175,000,, $25,000",ipo,positive,0.8813439952209592
cnbc,https://www.cnbc.com/2026/09/14/novo-nordisk-rebrands-to-novo-ceo-mike-doustdar.html,"Mon, 14 Sep 2026 07:00:01 GMT","Novo Nordisk rebrands to 'Novo,' unveils corporate changes as it fights for obesity market share","The Danish drugmaker called the changes the beginning of a new chapter for the company, which faces stiff competition from Eli Lilly.","Novo Nordisk on Monday said it is rebranding its name to ""Novo"" and updating its corporate culture, as the company works to win back market share in the obesity drug space. The Danish drugmaker called the changes the beginning of a new chapter, as it has been grappling with stiff competition from chief rival Eli Lilly and investor pressure to deliver new blockbuster products and chart a path toward long-term growth. Novo is preparing to detail its business strategy changes during its Capital Markets Day event on Sept. 21. In a release, Novo also announced a broader company rebrand focused around the phrase ""Lasting Health Starts Now,"" which promotes the idea that patients should make progress toward long-term well-being immediately rather than later. The company said the marketing is a bid to build relevance and trust with the public and other stakeholders, and bring ""breakthrough science closer to people's daily lives."" Shares of Novo have dropped about 15% this year despite the successful launch of the oral version of Wegovy, which surpassed 3 million prescriptions as of June. The company recently scrapped three trials on an experimental cardiovascular drug. That challenge came as it continues to lag in the obesity space with 38.8% market share compared to Lilly's 60.9% in the second quarter, according to a Lilly earnings presentation citing IQVIA data. Novo Nordisk will remain the legal name for the company, according to the release. That original name dates back to the 1989 merger of two competing Danish pharmaceutical companies: Novo Terapeutisk Laboratorium and Nordisk Insulinlaboratorium. The drugmaker said its corporate culture will be based on a new set of four principles that will help it gain advantages in an increasingly competitive market where more of its products have gone direct-to-consumer. Those tenets are innovating with patients as the primary focus, raising the company's performance to ""create greater value for all stakeholders,"" setting clearer priorities and simpler workflows and never compromising on patient safety and ethics. Despite its challenges, Novo has had one significant tailwind this year in the launch of the oral version of Wegovy. On top of its explosive launch, the pill had a head start over a rival weight loss pill from Lilly called Foundayo.","Lilly, Eli Lilly, Wegovy, Nordisk Insulinlaboratorium, Foundayo",,,"15%, 38.8%, 60.9%",,,negative,-0.3817099928855896
